"Mouse symbol" FC.HM.old "adjusted p-value.HM.old" FC.HM.new "adjusted p-value.HM.new"
Npy -1.16376988343894 0.0116003768726202 1.05049243838368 0.807940172982384
Myl12b -1.2229261922949 1.63473241509629e-4 1.09805355613235 0.420466614097925
Rpl35a -1.18762700827414 1.10040360215209e-5 1.02118228012962 0.964036857570913
Shank2 -2.41204918538194 8.5433784165931705e-038 -2.36586114382664 1.47487042783876e-22
Cox8a -1.18619143719868 0.00157361190339239 1.0482947307867 0.777169260443289
Prrt2 -1.16857076992496 2.29583295147083e-4 -1.01009597937178 0.981265622073443
Mt2 -1.30665440270247 0.0250259222377523 1.09554304112095 0.727534409544801
Arfgef3 1.11655608583291 0.0488297981143913 -1.11920790836012 0.412512763760965
Zkscan16 1.17031943263677 0.0221021652738853 -1.15676960841172 0.643430585522758
Rps8 -1.17056517632319 7.52916374730358e-5 -1.08702288119407 0.551361565945545
Rpl13 -1.40340335478984 4.32243102797887e-7 -1.04830692063674 0.849139461965907
Atp5k -1.18136970157905 0.0230755417687261 1.06464076858192 0.749224037248013
Rplp1 -1.23246935252283 0.00157361190339239 1.01367553328877 0.966320330216411
Tmem245 1.14093230217422 0.0205756608350987 -1.11329897046429 0.629605430315781
Ccnd1 -2.58749517180186 3.31825664282388e-20 -1.65216871991053 9.78908665301253e-7
Fau -1.18663454664462 5.92642843989163e-4 -1.05006031140003 0.860328054802896
Gapdh -1.10936079048484 0.0229283059736872 1.01909592624172 0.90743342265196
Rps23 -1.18396758064109 0.00180787779530472 1.09602893076229 0.71978100281663
Fras1 1.24031693647146 0.0084146227075774 1.31509127116749 0.319269413306772
Pvalb -1.38320795872551 7.52916374730358e-5 -1.4718615885871 0.00784856459451975
Ttpal 1.12537762440619 0.0192423599428094 1.06049206605649 0.818985769944814
Rps13 -1.26107975883604 1.18074836523478e-6 -1.03400790188512 0.908579840038589
Atp5e -1.1697618425665 0.0201222326157511 -1.02426161119414 0.958540557947459
Rpl34 -1.20280296528302 0.00430898185735658 -1.05701767943854 0.884447828655831
Rpl27 -1.35038530982683 7.52916374730358e-5 -1.1087140411624 0.727534409544801
Epha5 1.18593337633249 3.01029408678472e-4 1.03038592958141 0.929802626713399
Scrt1 -1.16414450221565 2.29583295147083e-4 -1.10209019155576 0.631560796245759
Rpl8 -1.15829415024607 1.80171432003036e-4 -1.06120522620962 0.653620677853874
Pank3 1.1216856676077 0.0440938570229861 -1.1123440987149 0.435875394259438
Nav3 1.18930709579696 0.0338434382089677 1.00650635715739 0.990315936948415
Nrp2 1.21358433497132 0.0455836524682368 1.27901216781896 0.0318089314705177
Rps24 -1.14619048297383 0.001308827019354 1.01278938585291 0.979098122648051
Scn7a 1.43671481303494 7.5306604907431e-4 1.47516057221513 0.00784856459451975
Atp5g1 -1.11233530356017 0.0179685752884289 1.02403680716256 0.910284470675728
Ubald1 -1.13492323695794 0.00686400424027406 1.02608116880218 0.902213131432836
Aldh1l1 -1.17577048335531 0.0367717687933938 -1.10544240532461 0.690308576975571
Ptprf 1.18023569317173 0.00612729055595356 1.04059553890229 0.908183540983719
Gucy1a2 1.29378980289794 0.0249856216226721 -1.17461656130493 0.723170306594152
Rpl13a -1.20758986111335 5.03708378879099e-6 -1.0825828831163 0.832533364926962
Klhl24 1.11875403818375 0.0192423599428094 -1.02929006245887 0.912846794293354
Pnkd -1.12875091588468 0.00180787779530472 -1.04273517935455 0.713079677495505
Cplx1 -1.25569502913797 1.42949948698994e-5 -1.14650612095902 0.104749774193946
Myl4 -1.43935489750326 7.36722568201074e-8 -1.50164421712756 2.29535767946877e-4
Rpl19 -1.14281490308825 0.00445061323458137 1.01772476462071 0.948844426654572
Rps26 -1.13119613401768 0.0210818745087523 1.05189207126337 0.816401171590285
Mrpl52 -1.33084714718325 0.0164154721022442 1.05977266475586 0.871705259755762
Adnp 1.30168936840067 0.0468959848634196 1.10372220921818 0.739754611230045
Cox4i1 -1.13157760885152 0.0207718309943571 -1.00050110993352 0.998367816074772
Enho -1.17302317845934 0.0370587262986294 -1.02885377523551 0.910284470675728
Edem3 1.13912346449549 0.0217086662546492 1.00678459507251 0.986361260940123
Rpl24 -1.15623595313182 0.00180787779530472 -1.04685711497515 0.860234606452601
Vamp1 -1.30181130537047 1.18074836523478e-6 -1.26294452285994 0.160983061529921
Vamp1 -1.30181130537047 1.18074836523478e-6 -1.26294452285994 0.160983061529921
Rpl26 -1.1501235334381 0.033749296545177 -1.0353463926569 0.925215142534384
Chchd10 -1.20879446926464 0.00475970825655001 1.06101271096001 0.725074367298686
Cmtm5 -1.22131096760114 0.0421850072183814 -1.02149100456511 0.964363151368581
Csrp1 -1.20623148452338 0.00411667407916619 -1.0265383739755 0.94503677482655
Rph3a -1.15015477290357 4.41794326877046e-4 -1.25684755679347 1.97017785713739e-5
Ckb -1.1790429180565 0.0041170054708423 -1.04145002042995 0.764565002647173
Igfbp4 -1.48122195651829 4.4911585842930697e-005 -1.33123509599919 0.00276916934438331
Chl1 1.23262587010575 0.00488756491828337 1.03034197804313 0.947359256870185
Asic2 -1.14820395192925 0.0489221825451617 -1.03421835868784 0.889741906415615
Rpl39 -1.25184084213685 0.00965939945781942 -1.05289616461396 0.814832635915584
Selenom -1.17148956411688 0.0124620715224585 1.00766077444704 0.97858539620535
Tmsb4x -1.12999383024607 0.019565092639433 1.01699767645418 0.953062993816373
Bmi1 1.13585145172983 0.0496733842678576 -1.0235283307104 0.926918824769134
Rps5 -1.13288511817677 0.0187877289079918 -1.04269581622089 0.836900459566898
Gstm1 -1.17742750694267 0.00475970825655001 1.03028760874815 0.947359256870185
Apod -1.35410073410465 0.00310541189339196 -1.09029931875187 0.855392791538683
Rps27a -1.11904909547194 0.044064690183956 -1.02954591400577 0.935660832095077
Kcna3 1.25326986587241 0.0409752744396424 1.01514230264829 0.983421425290205
